STATE,POPULATION,DENSITY / KM^2,GDP NOMINAL,GDP PER CAPITA,GDP GROWTH 2022-2023
JOHOR,4100900,214,148205,41902,4.1
KEDAH,2187500,230,57646,26353,1.6
KELANTAN,1857600,124,31275,16836,2.6
MELAKA,1027500,585,55405,53922,3
NEGERI SEMBILAN,1224300,182,63308,51709,1.8
PAHANG,1642700,45,75703,46084,5.2
PENANG,1771600,1718,115957,72586,3.3
PERAK,2540400,120,94427,37170,2.7
PERLIS,292700,359,7026,24004,2.1
SELANGOR,7324500,887,450271,62492,5.4
TERENGGANU,1209400,93,37625,31111,2.3
SARAWAK,2509500,20,142352,72411,1.2
SABAH,3592800,48,111906,31147,1.3
KUALA LUMPUR,1998600,8235,277519,131038,3.7
LABUAN,99500,1085,8314,83596,1.9
